City,Gender,Tenure Months,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,is_senior,has_partner,has_dependents,is_paperless_billing,payment_method_auto,is_month_to_month,contract_term,contract_months,has_phone_service,has_multiple_lines,has_internet_service,has_dsl,has_fiber_optic,offers_online_security,offers_online_backup,offers_device_protection,offers_tech_support,offers_streaming_tv,offers_streaming_movies,service_count,internet_only_customer,all_services_with_internet,high_value_customer,tenure_bucket,avg_charge_per_month,charge_ratio,avg_monthly_charge_delta
Los Angeles,Male,18,95.45,1752.55,1,81,3179,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,5,0,1,0,13-24,97.36388888888888,18.36092194866422,-1.9138888888888772
Beverly Hills,Female,9,94.4,857.25,1,96,5571,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,5,0,1,1,7-12,95.25,9.08103813559322,-0.8499999999999943
Huntington Park,Female,1,79.35,79.35,1,87,2483,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0-6,79.35,1.0,0.0
Lynwood,Female,7,75.15,496.9,1,70,3457,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,3,0,0,0,7-12,70.98571428571428,6.612109115103126,4.164285714285725
Marina Del Rey,Female,12,78.95,927.35,1,86,5806,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,4,0,0,1,7-12,77.27916666666667,11.746041798606713,1.6708333333333343
Inglewood,Male,5,21.05,113.85,1,66,2604,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0-6,22.77,5.40855106888361,-1.7199999999999989
Inglewood,Female,25,98.5,2514.5,1,88,5337,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,6,0,1,1,25-48,100.58,25.527918781725887,-2.0799999999999983
Santa Monica,Male,68,110.0,7611.85,1,86,5034,0,1,0,1,1,0,2,24,1,1,1,0,1,0,1,1,1,1,1,8,0,1,1,49+,111.93897058823529,69.19863636363637,-1.9389705882352928
Torrance,Male,55,96.75,5238.9,1,75,5154,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,6,0,1,1,49+,95.25272727272727,54.14883720930232,1.4972727272727298
Whittier,Female,37,76.5,2868.15,1,67,2793,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,25-48,77.51756756756757,37.4921568627451,-1.0175675675675677
Whittier,Female,10,100.25,1064.65,1,87,5998,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,6,0,1,1,7-12,106.465,10.61995012468828,-6.215000000000003
La Habra,Male,3,74.4,229.55,1,76,4415,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0-6,76.51666666666667,3.0853494623655915,-2.11666666666666
Pico Rivera,Female,27,78.05,2135.5,1,95,4638,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,4,0,0,1,25-48,79.0925925925926,27.360666239590007,-1.042592592592598
Avalon,Female,25,58.6,1502.65,1,99,4190,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,6,1,1,0,25-48,60.106,25.642491467576793,-1.5060000000000002
Harbor City,Male,1,35.45,35.45,1,80,2301,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0-6,35.45,1.0,0.0
Lakewood,Male,2,44.35,81.25,1,76,2570,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0-6,40.625,1.8320180383314544,3.7250000000000014
Los Alamitos,Female,1,70.45,70.45,1,76,3964,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,70.45,1.0,0.0
San Pedro,Female,8,71.15,563.65,1,66,2662,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,6,0,1,0,7-12,70.45625,7.921995783555867,0.6937500000000085
Carson,Male,1,45.65,45.65,1,73,2600,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0-6,45.65,1.0,0.0
Long Beach,Male,7,95.0,655.5,1,94,2786,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,5,0,1,0,7-12,93.64285714285714,6.9,1.3571428571428612
Altadena,Female,20,82.4,1592.35,1,86,5719,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,4,0,0,1,13-24,79.61749999999999,19.324635922330096,2.782500000000013
Monrovia,Female,4,70.9,273.0,1,75,4287,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,68.25,3.85049365303244,2.6500000000000057
Sierra Madre,Male,58,45.3,2651.2,1,100,5444,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,4,1,0,1,49+,45.710344827586205,58.52538631346578,-0.4103448275862078
Tujunga,Female,2,104.4,242.8,1,83,4690,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,7,0,1,1,0-6,121.4,2.3256704980842913,-17.0
Pasadena,Female,53,94.85,5000.2,1,80,4328,0,1,0,1,1,0,1,12,1,0,1,0,1,0,0,1,0,1,1,5,0,1,0,49+,94.3433962264151,52.71692145492884,0.5066037735848994
Pasadena,Female,15,74.45,1145.7,1,99,5717,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,1,13-24,76.38000000000001,15.38885157824043,-1.9300000000000068
Pasadena,Female,7,76.45,503.6,1,81,4419,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,7-12,71.94285714285715,6.587311968606933,4.507142857142853
Glendale,Female,1,29.95,29.95,1,95,4534,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,0-6,29.95,1.0,0.0
Glendale,Male,8,84.5,662.65,1,86,2152,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,4,0,0,0,7-12,82.83125,7.842011834319527,1.6687500000000028
Glendale,Female,13,79.25,1111.65,1,73,5142,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,4,0,0,1,13-24,85.51153846153846,14.027129337539433,-6.261538461538464
Glendale,Female,1,24.8,24.8,1,94,4851,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0-6,24.8,1.0,0.0
Canoga Park,Male,6,91.0,531.0,1,94,2283,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,5,0,1,0,0-6,88.5,5.835164835164835,2.5
Mission Hills,Male,1,79.9,79.9,1,98,3394,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0-6,79.9,1.0,0.0
Santa Clarita,Female,19,106.6,1934.45,1,71,3764,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,7,0,1,0,13-24,101.81315789473685,18.146810506566606,4.786842105263148
Sun Valley,Male,2,46.0,84.5,1,76,2667,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0-6,42.25,1.8369565217391304,3.75
Stevenson Ranch,Female,4,70.15,268.35,1,67,2227,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,67.0875,3.8253741981468283,3.0625
Panorama City,Male,4,50.05,179.35,1,82,3394,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0-6,44.8375,3.5834165834165836,5.212499999999999
Van Nuys,Female,1,55.2,55.2,1,81,3638,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0-6,55.2,1.0,0.0
Burbank,Male,1,84.6,84.6,1,66,2484,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,4,0,0,0,0-6,84.6,1.0,0.0
North Hollywood,Male,2,54.4,114.1,1,81,2556,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,4,0,0,0,0-6,57.05,2.097426470588235,-2.6499999999999986
North Hollywood,Female,11,95.0,1120.3,1,85,5980,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,5,0,1,1,7-12,101.84545454545454,11.792631578947368,-6.845454545454544
Covina,Male,15,74.4,1074.3,1,86,4616,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,3,0,0,1,13-24,71.61999999999999,14.439516129032256,2.7800000000000153
Covina,Male,1,48.55,48.55,1,77,5687,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,3,0,0,1,0-6,48.55,1.0,0.0
El Monte,Female,2,70.4,147.15,1,75,5687,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0-6,73.575,2.0901988636363638,-3.174999999999997
El Monte,Male,1,40.2,40.2,1,65,5828,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,3,1,0,1,0-6,40.2,1.0,0.0
La Puente,Female,2,44.6,80.55,1,99,4884,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0-6,40.275,1.8060538116591927,4.325000000000003
La Puente,Male,3,41.15,132.2,1,96,2314,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,3,1,0,0,0-6,44.06666666666666,3.212636695018226,-2.9166666666666643
Rowland Heights,Male,13,106.9,1364.3,1,84,2494,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,7,0,1,0,13-24,104.94615384615385,12.762394761459307,1.9538461538461576
Ontario,Male,59,19.35,1099.6,1,83,5084,0,0,0,0,0,0,2,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49+,18.63728813559322,56.82687338501291,0.7127118644067814
Ontario,Female,16,94.45,1511.2,1,81,3810,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,5,0,1,0,13-24,94.45,16.0,0.0
Pomona,Male,1,24.8,24.8,1,73,5087,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0-6,24.8,1.0,0.0
Pomona,Male,1,70.6,70.6,1,69,3338,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,70.6,1.0,0.0
Rosemead,Male,5,85.4,401.1,1,80,3676,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,5,0,1,0,0-6,80.22,4.69672131147541,5.180000000000007
San Dimas,Female,52,105.05,5624.85,1,65,4839,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,7,0,1,1,49+,108.17019230769232,53.54450261780105,-3.120192307692321
West Covina,Male,18,95.15,1779.95,1,68,4643,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,5,0,1,1,13-24,98.88611111111112,18.706778770362586,-3.7361111111111143
Alhambra,Male,1,70.0,70.0,1,97,4094,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,70.0,1.0,0.0
Alpine,Male,8,74.5,606.55,1,80,4345,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,3,0,0,0,7-12,75.81875,8.141610738255032,-1.3187499999999943
Bonita,Male,10,44.85,435.4,1,83,4061,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,7-12,43.54,9.707915273132663,1.3100000000000023
Boulevard,Male,24,76.1,1712.7,1,98,2018,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,13-24,71.3625,22.505913272010513,4.737499999999997
Guatay,Female,1,73.6,73.6,1,80,2565,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0-6,73.6,1.0,0.0
Jacumba,Female,4,95.45,396.1,1,85,3677,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,5,0,1,0,0-6,99.025,4.149816657936093,-3.575000000000003
Mount Laguna,Male,32,74.9,2303.35,1,69,4105,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,25-48,71.9796875,30.75233644859813,2.9203125000000085
Borrego Springs,Male,5,80.6,415.55,1,69,5715,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0-6,83.11,5.155707196029777,-2.510000000000005
Carlsbad,Female,38,80.3,3058.65,1,81,2071,0,1,0,0,1,0,1,12,1,0,1,1,0,1,1,0,1,1,1,7,0,1,0,25-48,80.49078947368422,38.09028642590287,-0.1907894736842195
Del Mar,Male,24,93.15,2231.05,1,73,2212,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,5,0,1,0,13-24,92.96041666666667,23.95115405260333,0.18958333333333144
El Cajon,Female,54,82.45,4350.1,1,83,4149,1,0,0,0,1,0,1,12,1,1,1,1,0,1,1,0,1,1,1,8,0,1,0,49+,80.55740740740741,52.760460885385086,1.8925925925925924
Escondido,Female,2,70.35,139.05,1,73,2671,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,69.525,1.9765458422174844,0.8249999999999886
Oceanside,Female,7,73.85,511.25,1,67,2473,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,7-12,73.03571428571429,6.922816519972919,0.8142857142857025
Pala,Female,2,80.6,155.8,1,92,2683,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,4,0,0,0,0-6,77.9,1.9330024813895785,2.6999999999999886
Palomar Mountain,Male,68,75.8,5293.95,1,81,4903,0,1,0,1,1,0,1,12,1,1,1,1,0,0,1,1,1,0,1,7,0,1,1,49+,77.85220588235293,69.8410290237467,-2.0522058823529363
Pauma Valley,Female,43,104.6,4759.85,1,91,5250,0,0,0,1,0,0,2,24,1,1,1,0,1,0,1,1,0,1,1,7,0,1,1,25-48,110.69418604651163,45.50525812619504,-6.094186046511638
Ranchita,Male,63,103.4,6603.0,1,98,4352,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,7,0,1,0,49+,104.80952380952381,63.858800773694384,-1.4095238095238045
Valley Center,Female,2,90.4,168.2,1,76,4157,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,4,0,0,0,0-6,84.1,1.8606194690265485,6.300000000000011
San Diego,Male,4,84.8,371.9,1,73,4939,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,5,0,1,1,0-6,92.975,4.38561320754717,-8.174999999999997
San Diego,Female,21,41.9,840.1,1,97,4778,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,3,1,0,1,13-24,40.00476190476191,20.050119331742245,1.895238095238092
San Diego,Female,10,80.25,846.0,1,85,3598,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,7-12,84.6,10.542056074766355,-4.349999999999994
San Diego,Male,27,30.75,805.1,1,91,2927,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,25-48,29.81851851851852,26.182113821138213,0.9314814814814802
San Diego,Male,5,96.5,492.55,1,98,5383,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,5,0,1,1,0-6,98.51,5.104145077720207,-2.010000000000005
San Diego,Male,2,85.65,181.5,1,73,3878,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,4,0,0,0,0-6,90.75,2.1190893169877407,-5.099999999999994
San Diego,Female,25,104.95,2566.5,1,66,3642,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,7,0,1,0,25-48,102.66,24.454502143878038,2.2900000000000063
San Diego,Male,1,50.65,50.65,1,76,2431,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,3,0,0,0,0-6,50.65,1.0,0.0
Indio,Male,1,90.85,90.85,1,81,3424,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,5,0,1,0,0-6,90.85,1.0,0.0
Indian Wells,Male,11,19.95,214.75,1,80,5888,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7-12,19.522727272727273,10.764411027568922,0.4272727272727259
Palm Desert,Female,55,85.45,4874.7,1,100,5502,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,5,0,1,1,49+,88.63090909090909,57.047396138092445,-3.1809090909090827
Desert Hot Springs,Female,34,73.95,2524.45,1,94,5795,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,3,0,0,1,25-48,74.24852941176471,34.13725490196078,-0.2985294117647044
Holtville,Male,69,99.45,7007.6,1,80,4020,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,6,0,1,0,49+,101.55942028985508,70.46354952237306,-2.1094202898550805
Niland,Female,1,19.9,19.9,1,92,3351,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0-6,19.9,1.0,0.0
North Palm Springs,Male,1,19.6,19.6,1,95,3448,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0-6,19.6,1.0,0.0
Ocotillo,Male,3,81.35,233.7,1,73,2818,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,4,0,0,0,0-6,77.89999999999999,2.8727719729563614,3.450000000000003
Seeley,Female,22,83.3,1845.9,1,88,3804,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,4,0,0,0,13-24,83.90454545454546,22.15966386554622,-0.6045454545454589
Thermal,Female,1,75.3,75.3,1,67,4902,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0-6,75.3,1.0,0.0
Adelanto,Female,61,19.4,1182.55,1,82,4221,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49+,19.38606557377049,60.95618556701031,0.01393442622950758
Apple Valley,Male,12,45.4,518.9,1,68,2887,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,7-12,43.24166666666667,11.429515418502202,2.1583333333333314
Crestline,Female,60,105.9,6396.45,1,84,4105,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,7,0,1,0,49+,106.6075,60.400849858356935,-0.707499999999996
Daggett,Female,1,69.55,69.55,1,73,2792,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0-6,69.55,1.0,0.0
Ludlow,Female,28,81.05,2227.1,1,98,5201,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,3,0,0,1,25-48,79.53928571428571,27.478099938309686,1.5107142857142861
Lucerne Valley,Male,4,101.15,385.9,1,84,4417,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,6,0,1,0,0-6,96.475,3.815126050420168,4.675000000000011
Lytle Creek,Male,7,99.8,673.25,1,98,2031,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,6,0,1,0,7-12,96.17857142857143,6.745991983967936,3.6214285714285666
Phelan,Female,13,55.95,734.35,1,91,4498,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,3,0,0,0,13-24,56.48846153846154,13.125111706881144,-0.5384615384615401
Redlands,Male,1,55.0,55.0,1,71,4877,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,3,0,0,1,0-6,55.0,1.0,0.0
Rialto,Female,1,74.7,74.7,1,80,5980,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,3,0,0,1,0-6,74.7,1.0,0.0
Running Springs,Male,24,80.25,1861.5,1,77,4418,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,4,0,0,0,13-24,77.5625,23.19626168224299,2.6875
Tecopa,Male,5,96.1,453.4,1,66,4192,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,5,0,1,0,0-6,90.67999999999999,4.718002081165452,5.420000000000002
Victorville,Female,15,69.0,994.8,1,73,5671,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,13-24,66.32,14.417391304347825,2.680000000000007
Wrightwood,Female,48,45.3,2145.0,1,65,4926,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,4,1,0,1,25-48,44.6875,47.35099337748345,0.6124999999999972
San Bernardino,Female,8,83.55,680.05,1,65,2879,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,4,0,0,0,7-12,85.00625,8.139437462597247,-1.4562499999999972
San Bernardino,Male,1,74.35,74.35,1,93,2814,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0-6,74.35,1.0,0.0
Riverside,Female,2,74.4,139.4,1,77,4263,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0-6,69.7,1.8736559139784945,4.700000000000003
Riverside,Male,22,43.75,903.6,1,66,3099,0,0,0,1,1,0,1,12,0,0,1,1,0,0,1,1,0,0,1,4,1,0,0,13-24,41.07272727272727,20.653714285714287,2.6772727272727295
Riverside,Female,5,28.45,131.05,1,89,4099,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0-6,26.21,4.606326889279438,2.2399999999999984
March Air Reserve Base,Female,12,99.7,1238.45,1,76,2538,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,7,0,1,0,7-12,103.20416666666667,12.421765295887663,-3.504166666666663
Hemet,Female,20,94.1,1782.4,1,87,2666,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,6,0,1,0,13-24,89.12,18.941551540913924,4.97999999999999
Homeland,Male,2,94.2,167.5,1,72,3715,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,5,0,1,0,0-6,83.75,1.7781316348195328,10.450000000000003
Idyllwild,Female,6,80.5,502.85,1,98,5032,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,4,0,0,1,0-6,83.80833333333334,6.246583850931677,-3.308333333333337
Moreno Valley,Female,5,74.35,334.8,1,82,5273,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,1,0-6,66.96000000000001,4.5030262273032955,7.389999999999986
Murrieta,Male,40,104.8,4131.95,1,88,3492,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,7,0,1,0,25-48,103.29875,39.42700381679389,1.5012499999999989
Perris,Female,27,75.2,1929.35,1,99,4517,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,25-48,71.4574074074074,25.656249999999996,3.742592592592601
Sun City,Female,23,75.6,1758.6,1,81,2115,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,13-24,76.4608695652174,23.261904761904763,-0.8608695652173992
Sun City,Male,34,100.05,3480.0,1,72,2568,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,6,0,1,0,25-48,102.3529411764706,34.78260869565217,-2.302941176470597
Irvine,Female,1,85.0,85.0,1,80,5679,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,4,0,0,1,0-6,85.0,1.0,0.0
Lake Forest,Male,10,86.05,834.1,1,85,2966,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,4,0,0,0,7-12,83.41,9.69320162696107,2.6400000000000006
